Date,Region,total_streams
2017-01-15,bo,141027
2017-01-15,br,13351721
2017-01-15,ca,6812055
2017-01-15,ch,999596
2017-01-15,cl,4354102
2017-01-15,co,1709945
2017-01-15,cr,708111
2017-01-15,cz,439231
2017-01-15,de,13197985
2017-01-15,dk,3502839
2017-01-15,do,350042
2017-01-15,ec,694621
2017-01-15,ee,63804
2017-01-15,es,8217408
2017-01-15,fi,2844571
2017-01-15,fr,6569979
2017-01-15,gb,17023544
2017-01-15,global,170823744
2017-01-15,gr,120569
2017-01-15,gt,296662
2017-01-15,hk,713625
2017-01-15,hn,172576
2017-01-15,hu,306058
2017-01-15,id,2422635
2017-01-15,ie,1514702
2017-01-15,is,94053
2017-01-15,it,3944643
2017-01-15,jp,441106
2017-01-15,lt,83427
2017-01-15,lu,12775
2017-01-15,lv,73259
2017-01-15,mx,12880593
2017-01-15,my,1448524
2017-01-15,nl,7366385
2017-01-15,no,3944993
2017-01-15,nz,1910737
2017-01-15,pa,242365
2017-01-15,pe,1625525
2017-01-15,ph,8169875
2017-01-15,pl,1761522
2017-01-15,pt,1027078
2017-01-15,py,302773
2017-01-15,se,7313574
2017-01-15,sg,1799242
2017-01-15,sk,78186
2017-01-15,sv,129971
2017-01-15,tr,1751250
2017-01-15,tw,1016005
2017-01-15,us,55471155
2017-01-15,uy,454038
2017-01-16,ar,6031647
2017-01-16,at,753900
2017-01-16,au,7670098
2017-01-16,be,1128470
2017-01-16,bo,185998
2017-01-16,br,14462878
2017-01-16,ca,7127486
2017-01-16,ch,1058232
2017-01-16,cl,4784740
2017-01-16,co,1897712
2017-01-16,cr,840009
2017-01-16,cz,471074
2017-01-16,de,12476891
2017-01-16,dk,3756618
2017-01-16,do,326031
2017-01-16,ec,696650
2017-01-16,ee,66520
2017-01-16,es,8350920
2017-01-16,fi,2981912
2017-01-16,fr,6167359
2017-01-16,gb,18591844
2017-01-16,global,180672996
2017-01-16,gr,106420
2017-01-16,gt,333797
2017-01-16,hk,785637
2017-01-16,hn,185776
2017-01-16,hu,329918
2017-01-16,id,2673242
2017-01-16,ie,1553528
2017-01-16,is,130062
2017-01-16,it,4276994
2017-01-16,jp,418983
